date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:13	126/126	---M--	404	error ('Not%20Found')	text/html		http://192.168.25.244/robots.txt		(from )
18:26:14	14619/14619	---M--	200	added ('OKIDOKI')	text/html		http://192.168.25.244/	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/index.html	(from )
18:26:22	22175/22175	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/jquery-ui.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/jquery-ui.css	(from http://192.168.25.244/)
18:26:28	4137/4137	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/main.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/main.css	(from http://192.168.25.244/)
18:26:33	27150/27150	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/windowitems.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/windowitems.css	(from http://192.168.25.244/)
18:26:39	3322/3322	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/mainwindow.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/mainwindow.css	(from http://192.168.25.244/)
18:26:45	1346/1346	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/subwindow.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/subwindow.css	(from http://192.168.25.244/)
18:26:50	3439/3439	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/rightpanel.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/rightpanel.css	(from http://192.168.25.244/)
18:26:56	2265/2265	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/navigation.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/navigation.css	(from http://192.168.25.244/)
18:27:01	956/956	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/loader.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/loader.css	(from http://192.168.25.244/)
18:27:07	1481/1481	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/synoptic.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/synoptic.css	(from http://192.168.25.244/)
18:27:13	2036/2036	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/timepicker.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/timepicker.css	(from http://192.168.25.244/)
18:27:18	788/788	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/alarmpanel.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/alarmpanel.css	(from http://192.168.25.244/)
18:27:24	2908/2908	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/toppanel.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/toppanel.css	(from http://192.168.25.244/)
18:27:29	1478/1478	---M--	200	added ('OKIDOKI')	text/css		http://192.168.25.244/stylesheets/infopanel.css	C:/My%20Web%20Sites/silver%20reactor/192.168.25.244/stylesheets/infopanel.css	(from http://192.168.25.244/)
